iteration,latency (ms),gpu,layer,model_type,model
44,177.7268524169922,0,moe_l11,Encoder-Decoder,DeepSpeed
45,177.8744354248047,0,moe_l11,Encoder-Decoder,DeepSpeed
46,177.3224639892578,0,moe_l11,Encoder-Decoder,DeepSpeed
47,177.7777862548828,0,moe_l11,Encoder-Decoder,DeepSpeed
48,177.56912231445312,0,moe_l11,Encoder-Decoder,DeepSpeed
49,177.4998779296875,0,moe_l11,Encoder-Decoder,DeepSpeed
50,177.7790985107422,0,moe_l11,Encoder-Decoder,DeepSpeed
51,177.2210235595703,0,moe_l11,Encoder-Decoder,DeepSpeed
52,177.44447326660156,0,moe_l11,Encoder-Decoder,DeepSpeed
53,177.6703338623047,0,moe_l11,Encoder-Decoder,DeepSpeed
54,177.2906494140625,0,moe_l11,Encoder-Decoder,DeepSpeed
55,177.6473846435547,0,moe_l11,Encoder-Decoder,DeepSpeed
56,177.33421325683594,0,moe_l11,Encoder-Decoder,DeepSpeed
57,177.2882537841797,0,moe_l11,Encoder-Decoder,DeepSpeed
58,177.7340545654297,0,moe_l11,Encoder-Decoder,DeepSpeed
59,177.38546752929688,0,moe_l11,Encoder-Decoder,DeepSpeed
60,177.63401794433594,0,moe_l11,Encoder-Decoder,DeepSpeed
61,177.08047485351562,0,moe_l11,Encoder-Decoder,DeepSpeed
62,177.5298614501953,0,moe_l11,Encoder-Decoder,DeepSpeed
63,176.69088745117188,0,moe_l11,Encoder-Decoder,DeepSpeed
64,177.30284118652344,0,moe_l11,Encoder-Decoder,DeepSpeed
65,177.41856384277344,0,moe_l11,Encoder-Decoder,DeepSpeed
66,177.18710327148438,0,moe_l11,Encoder-Decoder,DeepSpeed
67,177.54156494140625,0,moe_l11,Encoder-Decoder,DeepSpeed
68,177.44998168945312,0,moe_l11,Encoder-Decoder,DeepSpeed
69,177.2545623779297,0,moe_l11,Encoder-Decoder,DeepSpeed
70,176.7842559814453,0,moe_l11,Encoder-Decoder,DeepSpeed
71,177.440673828125,0,moe_l11,Encoder-Decoder,DeepSpeed
72,177.46937561035156,0,moe_l11,Encoder-Decoder,DeepSpeed
73,177.1534423828125,0,moe_l11,Encoder-Decoder,DeepSpeed
74,177.59881591796875,0,moe_l11,Encoder-Decoder,DeepSpeed
75,177.66860961914062,0,moe_l11,Encoder-Decoder,DeepSpeed
76,177.04534912109375,0,moe_l11,Encoder-Decoder,DeepSpeed
77,177.4674530029297,0,moe_l11,Encoder-Decoder,DeepSpeed
78,177.24041748046875,0,moe_l11,Encoder-Decoder,DeepSpeed
79,177.47474670410156,0,moe_l11,Encoder-Decoder,DeepSpeed
80,177.546630859375,0,moe_l11,Encoder-Decoder,DeepSpeed
81,177.61964416503906,0,moe_l11,Encoder-Decoder,DeepSpeed
82,177.2178192138672,0,moe_l11,Encoder-Decoder,DeepSpeed
83,177.5814666748047,0,moe_l11,Encoder-Decoder,DeepSpeed
84,176.97251892089844,0,moe_l11,Encoder-Decoder,DeepSpeed
85,177.5740509033203,0,moe_l11,Encoder-Decoder,DeepSpeed
86,177.52700805664062,0,moe_l11,Encoder-Decoder,DeepSpeed
87,177.60630798339844,0,moe_l11,Encoder-Decoder,DeepSpeed
88,176.70118713378906,0,moe_l11,Encoder-Decoder,DeepSpeed
89,176.86618041992188,0,moe_l11,Encoder-Decoder,DeepSpeed
90,177.26316833496094,0,moe_l11,Encoder-Decoder,DeepSpeed
91,177.42559814453125,0,moe_l11,Encoder-Decoder,DeepSpeed
92,177.561279296875,0,moe_l11,Encoder-Decoder,DeepSpeed
93,177.7120361328125,0,moe_l11,Encoder-Decoder,DeepSpeed
94,177.87875366210938,0,moe_l11,Encoder-Decoder,DeepSpeed
95,177.72671508789062,0,moe_l11,Encoder-Decoder,DeepSpeed
96,177.42877197265625,0,moe_l11,Encoder-Decoder,DeepSpeed
97,177.45753479003906,0,moe_l11,Encoder-Decoder,DeepSpeed
98,177.41346740722656,0,moe_l11,Encoder-Decoder,DeepSpeed
99,177.5181427001953,0,moe_l11,Encoder-Decoder,DeepSpeed
0,4.321951866149902,0,moe_l11_decode,Encoder-Decoder,DeepSpeed
1,3.370016098022461,0,moe_l11_decode,Encoder-Decoder,DeepSpeed
2,3.50435209274292,0,moe_l11_decode,Encoder-Decoder,DeepSpeed
3,3.777856111526489,0,moe_l11_decode,Encoder-Decoder,DeepSpeed
4,3.758912086486816,0,moe_l11_decode,Encoder-Decoder,DeepSpeed
5,4.097887992858887,0,moe_l11_decode,Encoder-Decoder,DeepSpeed
6,3.5927999019622803,0,moe_l11_decode,Encoder-Decoder,DeepSpeed
7,3.5472640991210938,0,moe_l11_decode,Encoder-Decoder,DeepSpeed
8,3.4894399642944336,0,moe_l11_decode,Encoder-Decoder,DeepSpeed
9,3.59609603881836,0,moe_l11_decode,Encoder-Decoder,DeepSpeed
10,4.484288215637207,0,moe_l11_decode,Encoder-Decoder,DeepSpeed
